nombre,telefono,id_productora
Ais producciones,56987054160,0
Cucarro producciones limitada ,56935039844,1
C&m musicos - musica y asesorias musicales,56982842595,2
Eventos comunidad ombligo limitada,56938037004,3
Alto la torre,56911128539,4
Expat,1376542840,5
Rove.me,3219126688,6
Producciones y eventos empire digital limitada,56939058051,7
Producciones seven time entertainment group limitada,56931242846,8
Comercial audio tec limitada,56950832829,9
fullevent.de,4996934169,10
PIEDRA MALA PRODUCCIONES ,54975092425,11
Alva producciones ltda,56929039874,12
Gn Producciones,57974815035,13
Blackgaton,55987249505,14
Onlygroundmusic,57968968795,15
Mundo Epika,55922519509,16
Andeschimp spa,56966594257,17
TONICAS PRODUCCIONES ,54969001174,18
Centro eventos torres de paine,56965706463,19
Multimusica s.a.,56979416582,20
Carlos alberto perez alegria productora de eventos e.i.r.l,56910378232,21
Sydney WorldPride,6136289616,22
OZONO & PIEDRA MALA PRODUCCIONES ,54985656767,23
ARIEL DIWAN PRODUCCIONES S.R.L. ,54995594838,24
Wlaceventos,56912686146,25
Trimade eventos limitada ,56930524173,26
Producciones oz limitada,56944340617,27
Agosin eventos,56969057647,28
Yataco,55959997398,29
Colors producciones limitada,56948771726,30
UN PLAN PRODUCCIONES ,54917532684,31
Venue Hire Sydney,6136093629,32
LINO PATALANO ,54985244788,33
Centro de convenciones santiago s.a.,56952535504,34
Virtualia (productora de eventos),56920544795,35
Europages,4958133005,36
Dreams - eventos,56924340198,37
AV Company,6177546140,38
CMG Audio Visual,6147759107,39
Padrao Bull Prime,55911684208,40
ATIPICA ,54954578274,41
Centro de eventos dona sofia,56970591810,42
Weise y asociados limitada,56966193097,43
Animationphoenix,57972352799,44
Comercial visto bueno producciones limitada,56987858010,45
Sonnica producciones,56974792305,46
Beone - entertainment limitada,56949887315,47
Eventos mudness limitada,56937637012,48
Actividades de entretenimiento n.c. p fabiola patricia fabres cerda em ,56961071697,49
Eventveranstalter Hamburg,4988688472,50
LetsGo Company,34975957941,51
Reverb - productora de eventos,56961939488,52
Live Nation,34997188733,53
efeunodos,57939984095,54
Hispagenda,3213773242,55
Carpas karen ltda,56968719305,56
